,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2022-2023 School Year,2023-2024 School Year,,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2023-2024 School Year,2024-2025 School Year,,,,2024-2025 School Year,2024-2025 School Year,2024-2025 School Year,2024-2025 School Year,2024-2025 School Year,2024-2025 School Year
,,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Total,Budget,,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Total,Budget,,,,,,,,,
Bank Balance,,,,,,,,,,,,,"$2,845.52",,,,,,,,,,,,,,,,$0.00,,,,,,,,,,
INCOME,,,,,,"$5,650.00",,,,,,,,,,,,,,,,,,,,,,,$0.00,,,,,,,,,,
Scout Dues ,,,,,,,,,,,,,,,,,,,$60.00,,"$7,000.00",,,,,,,,"$7,060.00",,,,,,,,,,
Adult Leadership Fees,,,,,,,,,,,,,,,,,,,,,,,,,,$450.00,,,$450.00,,,,,,,,,,
Camp Woodruff? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,510.00",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"$2,022.00","$2,022.00","$2,022.00","$2,022.00","$2,022.00","$2,022.00","$2,023.00","$2,023.00","$2,023.00","$2,023.00","$2,023.00","$2,023.00",2022-2023 School Year,2023-2024 School Year,,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2023-2024 School Year,2023-2024 School Year,,2024-2025 School Year,,2024,2024,2024,2024,2024,2024
EXPENSES,,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Total/Actuals,Budget,,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Total Actuals,Budget,Variance,Budget,,Jul,Aug,Sep,Oct,Nov,Dec
Campsite Fees,,$0.00,,$54.00,$58.85,$21.40,$192.60,$85.60,$48.60,$64.80,$59.40,$117.80,,$703.05,$700.00,,,,,,,$297.48,,,,,,$439.92,$737.40,$700.00,$37.40,,,$181.90,,,,,$297.48
Campout Food Expenses,,$0.00,,$167.57,$56.02,,$210.96,$310.18,,,$60.99,,,$805.72,$800.00,,,,$103.12,,$175.61,,,$140.92,,$57.35,$87.49,$10.00,$574.49,$800.00,-$225.51,,,,$283.22,$103.12,,$175.61,
Troop Meeting Expenses (pizza/water/utensils),,$0.00,$141.16,$66.75,$95.36,$120.17,,$99.37,$107.04,$100.37,$118.70,,,$848.92,$900.00,,,,,,,,,$66.00,$66.00,$66.00,$66.00,,$264.00,$900.00,-$636.00,,,,,,,,
Troop T-shirts for Scouts,,,,,,,,,,,,$229.60,,$229.60,$150.00,,,,,,,,,,,,,,$0.00,$150.00,-$150.00,$0.00,,,,,,,
Woodruff Adult Leader Fees ($150/pp),,,,,,,,,,,,,$400.00,$400.00,$400.00,,,,,,,,,,,,,$495.00,$495.00,$400.00,$95.00,,,,,,,,
Merit Badges and Rank Badges,,,,$739.60,$3.17,$273.26,$3.80,,,,$58.74,,,"$1,078.57","$1,000.00",,,$472.78,$50.07,,,,,,,,,,$522.85,"$1,000.00",-$477.15,,,,$472.78,$50.07,,,
Holiday Service Project Materials,,,,,,$420.00,,,,,,,,$420.00,$450.00,,,,,,,,,,,,,,$0.00,$450.00,-$450.00,,,,,,,,
Scout Activity Expenses,,,,,,,$16.05,,,,$85.00,,,$101.05,$200.00,,,,,,,,,,,,,,$0.00,$200.00,-$200.00,$0.00,,,,,,,
TroopMaster Annual Subscription,,,,,,,,,,,$79.95,,,$79.95,$80.00,,,,,,,,,,,,$79.95,,$79.95,$80.00,-$0.05,,,,,,,,
Recharter Fees,,,,,,,"$1,601.65",,,,,,,"$1,601.65","$1,500.00",,,,,,,"$2,370.00",,,,,,,"$2,370.00","$1,500.00",$870.00,,,,,,,,"$2,370.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,$0.00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,$0.00,,,,,,,,
Total Expenses,,$0.00,$141.16,"$1,027.92",$213.40,$834.83,"$2,025.06",$495.15,$155.64,$165.17,$462.78,$347.40,$400.00,"$6,268.51","$6,180.00",,$0.00,$472.78,$153.19,$0.00,$175.61,"$2,667.48",$0.00,$206.92,$66.00,$123.35,$233.44,$944.92,"$5,043.69","$6,180.00","-$1,136.31",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodruff Scout Camp Expenses (paid fully by participants),,,,,,,,,$800.00,,$150.00,"$3,380.00",$250.00,"$4,580.00",,,,,,,$300.00,,,"$1,250.00",,,"$3,550.00",,"$5,100.00",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,$270.00,,,,,,,,,,,,,,,,,,,,,,,,,
